tot_coll_amt,Total collection amounts ever owed,Total jumlah pengumpulan yang pernah ada
tot_cur_bal,Total current balance of all accounts,Total Saldo Saat Ini dari Semua Akun
total_acc,The total number of credit lines currently in the borrower's credit file,Jumlah total jalur kredit saat ini dalam file kredit peminjam
total_bal_il,Total current balance of all installment accounts,Total saldo saat ini dari semua akun angsuran
total_cu_tl,Number of finance trades,Jumlah Perdagangan Keuangan
total_pymnt,Payments received to date for total amount funded,Pembayaran diterima hingga saat ini untuk jumlah total yang didanai
total_pymnt_inv,Payments received to date for portion of total amount funded by investors,Pembayaran diterima hingga saat ini untuk sebagian dari jumlah total yang didanai oleh investor
total_rec_int,Interest received to date,Bunga diterima hingga saat ini
total_rec_late_fee,Late fees received to date,Biaya keterlambatan yang diterima hingga saat ini
total_rec_prncp,Principal received to date,Kepala sekolah diterima hingga saat ini
total_rev_hi_lim  ,Total revolving high credit/credit limit,Total Batas Kredit/Kredit Tinggi Revolving
url,URL for the LC page with listing data.,URL untuk halaman LC dengan data daftar.
verified_status_joint,"Indicates if the co-borrowers' joint income was verified by LC, not verified, or if the income source was verified","Menunjukkan jika pendapatan bersama co-peminjam diverifikasi oleh LC, tidak diverifikasi, atau jika sumber pendapatan diverifikasi"
zip_code,The first 3 numbers of the zip code provided by the borrower in the loan application.,3 nomor pertama dari kode pos yang disediakan oleh peminjam dalam aplikasi pinjaman.
,,
,* Employer Title replaces Employer Name for all loans listed after 9/23/2013,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
IDE701782189883,,
